season,team_id,team_name,seed,offense_rating,defense_rating,efficiency_margin,recent_form,strength_of_schedule,kenpom_torvik_rating,ap_rank_week6,ap_top12_flag,data_source,_rating_zscore,team_rating,_champion_zscore,champion_profile_score,profile_score
1990,1112,T1112,2,79.18,67.18,12.0,0.6667,0.5909,,,,proxy,0.8687617517034345,1.0,0.9985739956132232,1.0,0.7973
1990,1242,T1242,2,70.0,62.19,7.81,0.8889,0.5664,,,,proxy,0.7416711039603319,0.9521597108458972,0.9318185697620768,0.9756168676801348,0.7468
1990,1328,T1328,1,86.44,78.39,8.06,0.75,0.559,,,,proxy,0.6945501956868827,0.9344221517332668,0.958901988858076,0.9855093757882344,0.7547
1990,1393,T1393,2,81.81,74.25,7.56,0.75,0.5664,,,,proxy,0.6604824121291739,0.9215981348194916,0.874628394683057,0.9547275453730992,0.757
1990,1257,T1257,4,84.67,77.08,7.58,0.6667,0.6406,,,,proxy,0.6502339003459148,0.9177403232824743,0.7154334284039889,0.8965798835471603,0.7487
1990,1181,T1181,3,76.0,68.71,7.29,0.7692,0.5446,,,,proxy,0.6273188523732108,0.90911449171688,0.8052234390163308,0.9293766439879484,0.725
1990,1344,T1344,9,88.5,81.17,7.33,0.6667,0.6979,,,,proxy,0.6254427478671323,0.9084082762427442,0.3853279712250025,0.7760053393917112,0.7209
1990,1276,T1276,3,81.8,76.2,5.6,0.8182,0.5917,,,,proxy,0.5994948888047131,0.8986408141790896,0.7669770266502066,0.9154067333538254,0.7126
1990,1231,T1231,8,85.36,78.09,7.27,0.8,0.5284,,,,proxy,0.5815628678087906,0.891890726074287,0.4979550814054656,0.8171435943772739,0.7252
1990,1314,T1314,8,80.94,73.94,7.0,0.7273,0.5451,,,,proxy,0.538605047844845,0.8757202637704108,0.4581593026474164,0.8026077611194153,0.7089
1990,1228,T1228,5,72.85,66.15,6.69,0.625,0.5433,,,,proxy,0.495494508982319,0.8594923140243259,0.597654367660556,0.8535598235894833,0.6714
1990,1207,T1207,3,68.39,63.78,4.61,0.7,0.5938,,,,proxy,0.4796592929876445,0.8535315189111072,0.6798423981655717,0.8835798795978371,0.6596
1990,1437,T1437,12,62.42,59.75,2.67,0.75,0.8229,,,,proxy,0.4660420304958433,0.8484056202972933,0.0465285367711766,0.652255227174559,0.6184
1990,1424,T1424,1,76.19,71.69,4.5,0.7273,0.5234,,,,proxy,0.4633681694421191,0.8473991081090271,0.8192823411460493,0.9345118081567058,0.6653
1990,1161,T1161,10,59.0,55.5,3.5,0.5,0.7812,,,,proxy,0.3684056271514058,0.811652689606388,0.106647879935303,0.6742144594116957,0.5889
1990,1278,T1278,6,78.67,76.33,2.33,0.6667,0.6042,,,,proxy,0.3208826957576173,0.7937637983330895,0.3973423135255862,0.7803937062445347,0.5819
1990,1104,T1104,7,74.1,70.1,4.0,0.5,0.6188,,,,proxy,0.3189251675841038,0.7930269328318804,0.3251035451809332,0.7540077245102648,0.642
1990,1396,T1396,11,63.0,59.9,3.1,0.6667,0.5437,,,,proxy,0.2575790901167238,0.7699346429063324,0.0943409021305053,0.669719204315261,0.5846
1990,1326,T1326,8,78.0,75.5,2.5,0.5,0.6406,,,,proxy,0.2456983809858227,0.7654624290159208,0.2091580046498282,0.7116573773943279,0.5789
1990,1345,T1345,2,82.71,79.71,3.0,0.6,0.4286,,,,proxy,0.2412678504293941,0.7637946598551711,0.6552337046898972,0.8745912914555883,0.5875
1990,1277,T1277,1,76.5,76.0,0.5,,0.6875,,,,proxy,0.208904255754559,0.7516121448172437,0.5613678857403686,0.8403057984851383,0.5439
1990,1261,T1261,5,72.58,73.5,-0.92,0.5,0.776,,,,proxy,0.1897890293142751,0.7444166668148195,0.2790716526812695,0.7371940840991335,0.5148
1990,1281,T1281,3,81.0,77.33,3.67,0.4,0.4688,,,,proxy,0.188233809401223,0.74383124080858,0.5361402670201071,0.8310911412864429,0.5794
1990,1116,T1116,4,81.2,79.6,1.6,0.3333,0.675,,,,proxy,0.1787389508342124,0.7402571243225166,0.37242032599912,0.7712906841038796,0.5326
1990,1417,T1417,7,81.25,78.25,3.0,0.5,0.4844,,,,proxy,0.1735908914000781,0.7383192582695454,0.2929674995361515,0.7422696905871318,0.5684
1990,1323,T1323,10,73.33,72.33,1.0,0.5,0.6528,,,,proxy,0.1509060949583166,0.7297800994844748,0.0246597863736052,0.6442674325074543,0.5411
1990,1293,T1293,16,68.0,68.0,0.0,0.5,0.7812,,,,proxy,0.1219010556331059,0.7188618337199546,-0.4006901198820767,0.4889038360021902,0.5239
1990,1163,T1163,1,,,,,,,,,proxy,0.0807108810726869,0.7033567600086171,0.4842652864361215,0.8121432505413487,0.5
1990,1385,T1385,6,70.4,68.6,1.8,0.3333,0.5312,,,,proxy,0.0606717689834109,0.6958135069544642,0.2453542530721164,0.7248784437497635,0.5253
1990,1210,T1210,4,67.45,64.18,3.27,0.25,0.4489,,,,proxy,0.0565160180301246,0.6942491721211133,0.3929726098379384,0.7787976252989633,0.5384
1990,1350,T1350,14,59.25,63.25,-4.0,0.6667,0.8125,,,,proxy,0.0369564017804363,0.6868864140130592,-0.352873759851308,0.5063692722393036,0.4764
1990,1308,T1308,6,,,,,,,,,proxy,0.0269036270242289,0.6831022830822754,0.1614217621453738,0.6942212049394516,0.5
1990,1229,T1229,14,63.5,65.0,-1.5,,0.7812,,,,proxy,0.0231746753972626,0.6816986068303742,-0.3549884375282705,0.5055968636305079,0.4914
1990,1243,T1243,11,68.71,71.0,-2.29,0.5714,0.6607,,,,proxy,0.0063792599989309,0.6753763672054443,-0.1310565084100908,0.5873903926015692,0.4837
1990,1143,T1143,9,,,,,,,,,proxy,-0.0053807254048457,0.6709495969264704,-0.0322843524290747,0.6234679775783134,0.5
1990,1190,T1190,13,71.0,72.0,-1.0,0.0,1.0,,,,proxy,-0.0063195369148746,0.6705962033849426,-0.4347691011724233,0.4764561240816398,0.4873
1990,1343,T1343,13,49.0,50.0,-1.0,0.0,1.0,,,,proxy,-0.0165467718639185,0.6667464010124013,-0.4449963361214671,0.4727205172774086,0.4591
1990,1379,T1379,13,,,,,,,,,proxy,-0.0484265286436121,0.654746015385397,-0.2905591718616729,0.5291303410967958,0.5
1990,1320,T1320,14,,,,,,,,,proxy,-0.0591879794533037,0.6506951200001286,-0.3551278767198224,0.5055459319764164,0.5
1990,1411,T1411,14,,,,,,,,,proxy,-0.0591879794533037,0.6506951200001286,-0.3551278767198224,0.5055459319764164,0.5
1990,1164,T1164,15,,,,,,,,,proxy,-0.0699494302629953,0.6466442246148603,-0.4196965815779719,0.481961522856037,0.5
1990,1378,T1378,15,,,,,,,,,proxy,-0.0699494302629953,0.6466442246148603,-0.4196965815779719,0.481961522856037,0.5
1990,1283,T1283,9,57.25,60.25,-3.0,0.25,0.8125,,,,proxy,-0.0771427975559593,0.6439364504599697,-0.1569461866848337,0.577933911079012,0.4456
1990,1406,T1406,16,,,,,,,,,proxy,-0.0807108810726869,0.6425933292295919,-0.4842652864361215,0.4583771137356575,0.5
1990,1438,T1438,7,80.5,83.83,-3.33,0.6,0.5104,,,,proxy,-0.0920648831431194,0.6383193818404517,0.106901660130698,0.6743071553387394,0.4293
1990,1173,T1173,12,49.0,51.0,-2.0,,0.5625,,,,proxy,-0.1440014844891801,0.6187690681848054,-0.2503216538936336,0.5438275243194058,0.4364
1990,1400,T1400,10,82.5,89.0,-6.5,0.5,0.7812,,,,proxy,-0.1524404992912975,0.6155923992836827,-0.2370265436740639,0.5486837053347712,0.447
